N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
1,삼성전자,"62,500",200,+0.32%,100,"3,731,114","5,969,783",50.82,"7,123,373",7.76,17.07,
2,LG에너지솔루션,"562,000","13,000",-2.26%,500,"1,315,080","234,000",5.40,"114,678",170.05,5.75,
3,SK하이닉스,"88,300",200,-0.23%,"5,000","642,826","728,002",50.30,"1,805,546",28.83,3.56,
4,삼성바이오로직스,"798,000",0,0.00%,"2,500","567,969","71,174",10.58,"10,474",69.93,11.42,
5,삼성SDI,"719,000","27,000",-3.62%,"5,000","494,417","68,765",49.06,"103,887",25.92,12.52,
6,LG화학,"687,000","25,000",-3.51%,"5,000","484,969","70,592",48.49,"99,652",29.14,6.95,
7,삼성전자우,"52,600",100,-0.19%,100,"432,838","822,887",71.66,"850,277",6.53,N/A,
8,현대차,"176,400","4,100",-2.27%,"5,000","373,142","211,532",30.56,"251,371",6.63,9.36,
9,NAVER,"201,000","3,000",-1.47%,100,"329,739","164,049",47.51,"251,500",43.38,3.29,
10,기아,"76,200","2,200",-2.81%,"5,000","308,887","405,363",36.39,"527,499",5.71,14.57,
11,POSCO홀딩스,"322,000","7,000",-2.13%,"5,000","272,319","84,571",49.29,"305,475",8.83,6.11,
12,카카오,"61,000",600,-0.97%,100,"271,809","445,588",25.88,"529,398",20.09,13.54,
13,셀트리온,"154,300",200,-0.13%,"1,000","217,284","140,819",20.33,"154,321",41.96,13.35,
14,삼성물산,"107,900",600,-0.55%,100,"201,651","186,887",17.37,"71,037",9.95,7.16,
15,현대모비스,"210,500","7,000",-3.22%,"5,000","198,470","94,285",36.37,"93,226",8.00,6.80,
16,포스코케미칼,"253,000","7,500",-2.88%,500,"195,982","77,463",7.95,"495,072",165.68,4.87,
17,KB금융,"47,650","1,300",-2.66%,"5,000","194,839","408,897",72.28,"745,969",4.46,9.17,
18,LG전자,"111,700",100,-0.09%,"5,000","182,795","163,648",27.01,"293,379",16.88,6.61,
19,신한지주,"34,650","1,100",-3.08%,"5,000","176,294","508,785",62.37,"697,874",3.96,9.70,
20,SK이노베이션,"158,000","1,200",-0.75%,"5,000","146,096","92,466",24.40,"226,860",9.44,8.49,
21,LG,"82,500","1,300",-1.55%,"5,000","129,773","157,301",35.76,"59,962",6.68,8.48,
